Tinggi Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
89.0,,10.0,,,10.8,,,11.7,,,12.6,,,13.7,,,14.9,,,16.3,
89.5,,10.1,,,10.9,,,11.8,,,12.8,,,13.9,,,15.1,,,16.4,
90.0,,10.2,,,11.0,,,11.9,,,12.9,,,14.0,,,15.2,,,16.6,
90.5,,10.3,,,11.1,,,12.0,,,13.0,,,14.1,,,15.3,,,16.7,
91.0,,10.4,,,11.2,,,12.1,,,13.1,,,14.2,,,15.5,,,16.9,
91.5,,10.5,,,11.3,,,12.2,,,13.2,,,14.4,,,15.6,,,17.0,
92.0,,10.6,,,11.4,,,12.3,,,13.4,,,14.5,,,15.8,,,17.2,
92.5,,10.7,,,11.5,,,12.4,,,13.5,,,14.6,,,15.9,,,17.3,
93.0,,10.8,,,11.6,,,12.6,,,13.6,,,14.7,,,16.0,,,17.5,
93.5,,10.9,,,11.7,,,12.7,,,13.7,,,14.9,,,16.2,,,17.6,
94.0,,11.0,,,11.8,,,12.8,,,13.8,,,15.0,,,16.3,,,17.8,
94.5,,11.1,,,11.9,,,12.9,,,13.9,,,15.1,,,16.5,,,17.9,
95.0,,11.1,,,12.0,,,13.0,,,14.1,,,15.3,,,16.6,,,18.1,
95.5,,11.2,,,12.1,,,13.1,,,14.2,,,15.4,,,16.7,,,18.3,
96.0,,11.3,,,12.2,,,13.2,,,14.3,,,15.5,,,16.9,,,18.4,
96.5,,11.4,,,12.3,,,13.3,,,14.4,,,15.7,,,17.0,,,18.6,
97.0,,11.5,,,12.4,,,13.4,,,14.6,,,15.8,,,17.2,,,18.8,
97.5,,11.6,,,12.5,,,13.6,,,14.7,,,15.9,,,17.4,,,18.9,
98.0,,11.7,,,12.6,,,13.7,,,14.8,,,16.1,,,17.5,,,19.1,
98.5,,11.8,,,12.8,,,13.8,,,14.9,,,16.2,,,17.7,,,19.3,
99.0,,11.9,,,12.9,,,13.9,,,15.1,,,16.4,,,17.9,,,19.5,
99.5,,12.0,,,13.0,,,14.0,,,15.2,,,16.5,,,18.0,,,19.7,
100.0,,12.1,,,13.1,,,14.2,,,15.4,,,16.7,,,18.2,,,19.9,
100.5,,12.2,,,13.2,,,14.3,,,15.5,,,16.9,,,18.4,,,20.1,
101.0,,12.3,,,13.3,,,14.4,,,15.6,,,17.0,,,18.5,,,20.3,
101.5,,12.4,,,13.4,,,14.5,,,15.8,,,17.2,,,18.7,,,20.5,
102.0,,12.5,,,13.6,,,14.7,,,15.9,,,17.3,,,18.9,,,20.7,
102.5,,12.6,,,13.7,,,14.8,,,16.1,,,17.5,,,19.1,,,20.9,
103.0,,12.8,,,13.8,,,14.9,,,16.2,,,17.7,,,19.3,,,21.1,
103.5,,12.9,,,13.9,,,15.1,,,16.4,,,17.8,,,19.5,,,21.3,
104.0,,13.0,,,14.0,,,15.2,,,16.5,,,18.0,,,19.7,,,21.6,
104.5,,13.1,,,14.2,,,15.4,,,16.7,,,18.2,,,19.9,,,21.8,
105.0,,13.2,,,14.3,,,15.5,,,16.8,,,18.4,,,20.1,,,22.0,
