Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
88.0,,9.7,,,10.5,,,11.3,,,12.2,,,13.3,,,14.5,,,15.8,
88.5,,9.8,,,10.6,,,11.4,,,12.4,,,13.4,,,14.6,,,15.9,
89.0,,9.9,,,10.7,,,11.5,,,12.5,,,13.5,,,14.7,,,16.1,
89.5,,10.0,,,10.8,,,11.6,,,12.6,,,13.7,,,14.9,,,16.2,
90.0,,10.1,,,10.9,,,11.8,,,12.7,,,13.8,,,15.0,,,16.4,
90.5,,10.2,,,11.0,,,11.9,,,12.8,,,13.9,,,15.1,,,16.5,
91.0,,10.3,,,11.1,,,12.0,,,13.0,,,14.1,,,15.3,,,16.7,
91.5,,10.4,,,11.2,,,12.1,,,13.1,,,14.2,,,15.4,,,16.8,
92.0,,10.5,,,11.3,,,12.2,,,13.2,,,14.3,,,15.6,,,17.0,
92.5,,10.6,,,11.4,,,12.3,,,13.3,,,14.4,,,15.7,,,17.1,
93.0,,10.7,,,11.5,,,12.4,,,13.4,,,14.6,,,15.8,,,17.3,
93.5,,10.7,,,11.6,,,12.5,,,13.5,,,14.7,,,16.0,,,17.4,
94.0,,10.8,,,11.7,,,12.6,,,13.7,,,14.8,,,16.1,,,17.6,
94.5,,10.9,,,11.8,,,12.7,,,13.8,,,14.9,,,16.3,,,17.7,
95.0,,11.0,,,11.9,,,12.8,,,13.9,,,15.1,,,16.4,,,17.9,
95.5,,11.1,,,12.0,,,12.9,,,14.0,,,15.2,,,16.5,,,18.0,
96.0,,11.2,,,12.1,,,13.1,,,14.1,,,15.3,,,16.7,,,18.2,
96.5,,11.3,,,12.2,,,13.2,,,14.3,,,15.5,,,16.8,,,18.4,
97.0,,11.4,,,12.3,,,13.3,,,14.4,,,15.6,,,17.0,,,18.5,
97.5,,11.5,,,12.4,,,13.4,,,14.5,,,15.7,,,17.1,,,18.7,
98.0,,11.6,,,12.5,,,13.5,,,14.6,,,15.9,,,17.3,,,18.9,
98.5,,11.7,,,12.6,,,13.6,,,14.8,,,16.0,,,17.5,,,19.1,
99.0,,11.8,,,12.7,,,13.7,,,14.9,,,16.2,,,17.6,,,19.2,
99.5,,11.9,,,12.8,,,13.9,,,15.0,,,16.3,,,17.8,,,19.4,
100.0,,12.0,,,12.9,,,14.0,,,15.2,,,16.5,,,18.0,,,19.6,
100.5,,12.1,,,13.0,,,14.1,,,15.3,,,16.6,,,18.1,,,19.8,
101.0,,12.2,,,13.2,,,14.2,,,15.4,,,16.8,,,18.3,,,20.0,
101.5,,12.3,,,13.3,,,14.4,,,15.6,,,16.9,,,18.5,,,20.2,
102.0,,12.4,,,13.4,,,14.5,,,15.7,,,17.1,,,18.7,,,20.4,
102.5,,12.5,,,13.5,,,14.6,,,15.9,,,17.3,,,18.8,,,20.6,
103.0,,12.6,,,13.6,,,14.8,,,16.0,,,17.4,,,19.0,,,20.8,
103.5,,12.7,,,13.7,,,14.9,,,16.2,,,17.6,,,19.2,,,21.0,
104.0,,12.8,,,13.9,,,15.0,,,16.3,,,17.8,,,19.4,,,21.2,
