Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,-3 SD,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
104.5,12.9,,,14.0,,,15.2,,,16.5,,,17.9,,,19.6,,,21.5,
105.0,13.0,,,14.1,,,15.3,,,16.6,,,18.1,,,19.8,,,21.7,
105.5,13.2,,,14.2,,,15.4,,,16.8,,,18.3,,,20.0,,,21.9,
106.0,13.3,,,14.4,,,15.6,,,16.9,,,18.5,,,20.2,,,22.1,
106.5,13.4,,,14.5,,,15.7,,,17.1,,,18.6,,,20.4,,,22.4,
107.0,13.5,,,14.6,,,15.9,,,17.3,,,18.8,,,20.6,,,22.6,
107.5,13.6,,,14.7,,,16.0,,,17.4,,,19.0,,,20.8,,,22.8,
108.0,13.7,,,14.9,,,16.2,,,17.6,,,19.2,,,21.0,,,23.1,
108.5,13.8,,,15.0,,,16.3,,,17.8,,,19.4,,,21.2,,,23.3,
109.0,14.0,,,15.1,,,16.5,,,17.9,,,19.6,,,21.4,,,23.6,
109.5,14.1,,,15.3,,,16.6,,,18.1,,,19.8,,,21.7,,,23.8,
110.0,14.2,,,15.4,,,16.8,,,18.3,,,20.0,,,21.9,,,24.1,
