Tinggi Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,-3 SD,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
65.0,5.9,,,6.3,,,6.9,,,7.4,,,8.1,,,8.8,,,9.6,
65.5,6.0,,,6.4,,,7.0,,,7.6,,,8.2,,,8.9,,,9.8,
66.0,6.1,,,6.5,,,7.1,,,7.7,,,8.3,,,9.1,,,9.9,
66.5,6.1,,,6.6,,,7.2,,,7.8,,,8.5,,,9.2,,,10.1,
67.0,6.2,,,6.7,,,7.3,,,7.9,,,8.6,,,9.4,,,10.2,
67.5,6.3,,,6.8,,,7.4,,,8.0,,,8.7,,,9.5,,,10.4,
68.0,6.4,,,6.9,,,7.5,,,8.1,,,8.8,,,9.6,,,10.5,
68.5,6.5,,,7.0,,,7.6,,,8.2,,,9.0,,,9.8,,,10.7,
69.0,6.6,,,7.1,,,7.7,,,8.4,,,9.1,,,9.9,,,10.8,
69.5,6.7,,,7.2,,,7.8,,,8.5,,,9.2,,,10.0,,,11.0,
70.0,6.8,,,7.3,,,7.9,,,8.6,,,9.3,,,10.2,,,11.1,
70.5,6.9,,,7.4,,,8.0,,,8.7,,,9.5,,,10.3,,,11.3,
71.0,6.9,,,7.5,,,8.1,,,8.8,,,9.6,,,10.4,,,11.4,
71.5,7.0,,,7.6,,,8.2,,,8.9,,,9.7,,,10.6,,,11.6,
72.0,7.1,,,7.7,,,8.3,,,9.0,,,9.8,,,10.7,,,11.7,
