Umur (bulan),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
0,,2.1,,,2.5,,,2.9,,,3.3,,,3.9,,,4.4,,,5.0,
1,,2.9,,,3.4,,,3.9,,,4.5,,,5.1,,,5.8,,,6.6,
2,,3.8,,,4.3,,,4.9,,,5.6,,,6.3,,,7.1,,,8.0,
3,,4.4,,,5.0,,,5.7,,,6.4,,,7.2,,,8.0,,,9.0,
4,,4.9,,,5.6,,,6.2,,,7.0,,,7.8,,,8.7,,,9.7,
5,,5.3,,,6.0,,,6.7,,,7.5,,,8.4,,,9.3,,,10.4,
6,,5.7,,,6.4,,,7.1,,,7.9,,,8.8,,,9.8,,,10.9,
7,,5.9,,,6.7,,,7.4,,,8.3,,,9.2,,,10.3,,,11.4,
8,,6.2,,,6.9,,,7.7,,,8.6,,,9.6,,,10.7,,,11.9,
9,,6.4,,,7.1,,,8.0,,,8.9,,,9.9,,,11.0,,,12.3,
10,,6.6,,,7.4,,,8.2,,,9.2,,,10.2,,,11.4,,,12.7,
11,,6.8,,,7.6,,,8.4,,,9.4,,,10.5,,,11.7,,,13.0,
12,,6.9,,,7.7,,,8.6,,,9.6,,,10.8,,,12.0,,,13.3,
13,,7.1,,,7.9,,,8.8,,,9.9,,,11.0,,,12.3,,,13.7,
14,,7.2,,,8.1,,,9.0,,,10.1,,,11.3,,,12.6,,,14.0,
15,,7.4,,,8.3,,,9.2,,,10.3,,,11.5,,,12.8,,,14.3,
16,,7.5,,,8.4,,,9.4,,,10.5,,,11.7,,,13.1,,,14.6,
17,,7.7,,,8.6,,,9.6,,,10.7,,,12.0,,,13.4,,,14.9,
18,,7.8,,,8.8,,,9.8,,,10.9,,,12.2,,,13.7,,,15.3,
19,,8.0,,,8.9,,,10.0,,,11.1,,,12.5,,,13.9,,,15.6,
20,,8.1,,,9.1,,,10.1,,,11.3,,,12.7,,,14.2,,,15.9,
21,,8.2,,,9.2,,,10.3,,,11.5,,,12.9,,,14.5,,,16.2,
22,,8.4,,,9.4,,,10.5,,,11.8,,,13.2,,,14.7,,,16.5,
23,,8.5,,,9.5,,,10.7,,,12.0,,,13.4,,,15.0,,,16.8,
24,,8.6,,,9.7,,,10.8,,,12.2,,,13.6,,,15.3,,,17.1,
25,,8.8,,,9.8,,,11.0,,,12.4,,,13.9,,,15.5,,,17.5,
26,,8.9,,,10.0,,,11.2,,,12.5,,,14.1,,,15.8,,,17.8,
27,,9.0,,,10.1,,,11.3,,,12.7,,,14.3,,,16.1,,,18.1,
