Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
24 *,,12.9,,,13.8,,,14.8,,,16.0,,,17.3,,,18.9,,,20.6,
25,,12.8,,,13.8,,,14.8,,,16.0,,,17.3,,,18.8,,,20.5,
26,,12.8,,,13.7,,,14.8,,,15.9,,,17.3,,,18.8,,,20.5,
27,,12.7,,,13.7,,,14.7,,,15.9,,,17.2,,,18.7,,,20.4,
28,,12.7,,,13.6,,,14.7,,,15.9,,,17.2,,,18.7,,,20.4,
29,,12.7,,,13.6,,,14.7,,,15.8,,,17.1,,,18.6,,,20.3,
30,,12.6,,,13.6,,,14.6,,,15.8,,,17.1,,,18.6,,,20.2,
31,,12.6,,,13.5,,,14.6,,,15.8,,,17.1,,,18.5,,,20.2,
32,,12.5,,,13.5,,,14.6,,,15.7,,,17.0,,,18.5,,,20.1,
33,,12.5,,,13.5,,,14.5,,,15.7,,,17.0,,,18.5,,,20.1,
34,,12.5,,,13.4,,,14.5,,,15.7,,,17.0,,,18.4,,,20.0,
35,,12.4,,,13.4,,,14.5,,,15.6,,,16.9,,,18.4,,,20.0,
36,,12.4,,,13.4,,,14.4,,,15.6,,,16.9,,,18.4,,,20.0,
37,,12.4,,,13.3,,,14.4,,,15.6,,,16.9,,,18.3,,,19.9,
38,,12.3,,,13.3,,,14.4,,,15.5,,,16.8,,,18.3,,,19.9,
39,,12.3,,,13.3,,,14.3,,,15.5,,,16.8,,,18.3,,,19.9,
40,,12.3,,,13.2,,,14.3,,,15.5,,,16.8,,,18.2,,,19.9,
41,,12.2,,,13.2,,,14.3,,,15.5,,,16.8,,,18.2,,,19.9,
42,,12.2,,,13.2,,,14.3,,,15.4,,,16.8,,,18.2,,,19.8,
43,,12.2,,,13.2,,,14.2,,,15.4,,,16.7,,,18.2,,,19.8,
44,,12.2,,,13.1,,,14.2,,,15.4,,,16.7,,,18.2,,,19.8,
45,,12.2,,,13.1,,,14.2,,,15.4,,,16.7,,,18.2,,,19.8,
46,,12.1,,,13.1,,,14.2,,,15.4,,,16.7,,,18.2,,,19.8,
47,,12.1,,,13.1,,,14.2,,,15.3,,,16.7,,,18.2,,,19.9,
48,,12.1,,,13.1,,,14.1,,,15.3,,,16.7,,,18.2,,,19.9,
49,,12.1,,,13.0,,,14.1,,,15.3,,,16.7,,,18.2,,,19.9,
50,,12.1,,,13.0,,,14.1,,,15.3,,,16.7,,,18.2,,,19.9,
51,,12.1,,,13.0,,,14.1,,,15.3,,,16.6,,,18.2,,,19.9,
52,,12.0,,,13.0,,,14.1,,,15.3,,,16.6,,,18.2,,,19.9,
53,,12.0,,,13.0,,,14.1,,,15.3,,,16.6,,,18.2,,,20.0,
54,,12.0,,,13.0,,,14.0,,,15.3,,,16.6,,,18.2,,,20.0,
