Umur (bulan),Panjang Badan (cm),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
24 *,,78.0,,,81.0,,,84.1,,,87.1,,,90.2,,,93.2,,,96.3,
25,,78.6,,,81.7,,,84.9,,,88.0,,,91.1,,,94.2,,,97.3,
26,,79.3,,,82.5,,,85.6,,,88.8,,,92.0,,,95.2,,,98.3,
27,,79.9,,,83.1,,,86.4,,,89.6,,,92.9,,,96.1,,,99.3,
28,,80.5,,,83.8,,,87.1,,,90.4,,,93.7,,,97.0,,,100.3,
29,,81.1,,,84.5,,,87.8,,,91.2,,,94.5,,,97.9,,,101.2,
30,,81.7,,,85.1,,,88.5,,,91.9,,,95.3,,,98.7,,,102.1,
31,,82.3,,,85.7,,,89.2,,,92.7,,,96.1,,,99.6,,,103.0,
32,,82.8,,,86.4,,,89.9,,,93.4,,,96.9,,,100.4,,,103.9,
33,,83.4,,,86.9,,,90.5,,,94.1,,,97.6,,,101.2,,,104.8,
34,,83.9,,,87.5,,,91.1,,,94.8,,,98.4,,,102.0,,,105.6,
35,,84.4,,,88.1,,,91.8,,,95.4,,,99.1,,,102.7,,,106.4,
36,,85.0,,,88.7,,,92.4,,,96.1,,,99.8,,,103.5,,,107.2,
37,,85.5,,,89.2,,,93.0,,,96.7,,,100.5,,,104.2,,,108.0,
38,,86.0,,,89.8,,,93.6,,,97.4,,,101.2,,,105.0,,,108.8,
39,,86.5,,,90.3,,,94.2,,,98.0,,,101.8,,,105.7,,,109.5,
40,,87.0,,,90.9,,,94.7,,,98.6,,,102.5,,,106.4,,,110.3,
41,,87.5,,,91.4,,,95.3,,,99.2,,,103.2,,,107.1,,,111.0,
42,,88.0,,,91.9,,,95.9,,,99.9,,,103.8,,,107.8,,,111.7,
43,,88.4,,,92.4,,,96.4,,,100.4,,,104.5,,,108.5,,,112.5,
44,,88.9,,,93.0,,,97.0,,,101.0,,,105.1,,,109.1,,,113.2,
45,,89.4,,,93.5,,,97.5,,,101.6,,,105.7,,,109.8,,,113.9,
46,,89.8,,,94.0,,,98.1,,,102.2,,,106.3,,,110.4,,,114.6,
47,,90.3,,,94.4,,,98.6,,,102.8,,,106.9,,,111.1,,,115.2,
48,,90.7,,,94.9,,,99.1,,,103.3,,,107.5,,,111.7,,,115.9,
49,,91.2,,,95.4,,,99.7,,,103.9,,,108.1,,,112.4,,,116.6,
50,,91.6,,,95.9,,,100.2,,,104.4,,,108.7,,,113.0,,,117.3,
51,,92.1,,,96.4,,,100.7,,,105.0,,,109.3,,,113.6,,,117.9,
52,,92.5,,,96.9,,,101.2,,,105.6,,,109.9,,,114.2,,,118.6,
53,,93.0,,,97.4,,,101.7,,,106.1,,,110.5,,,114.9,,,119.2,
54,,93.4,,,97.8,,,102.3,,,106.7,,,111.1,,,115.5,,,119.9,
