Umur,Column_1,Indeks Massa Tubuh (IMT),Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
Tahun,Bulan,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
5,1,,11.8,,,12.7,,,13.9,,,15.2,,,16.9,,,18.9,,,21.3,
5,2,,11.8,,,12.7,,,13.9,,,15.2,,,16.9,,,18.9,,,21.4,
5,3,,11.8,,,12.7,,,13.9,,,15.2,,,16.9,,,18.9,,,21.5,
5,4,,11.8,,,12.7,,,13.9,,,15.2,,,16.9,,,18.9,,,21.5,
5,5,,11.7,,,12.7,,,13.9,,,15.2,,,16.9,,,19.0,,,21.6,
5,6,,11.7,,,12.7,,,13.9,,,15.2,,,16.9,,,19.0,,,21.7,
5,7,,11.7,,,12.7,,,13.9,,,15.2,,,16.9,,,19.0,,,21.7,
5,8,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.1,,,21.8,
5,9,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.1,,,21.9,
5,10,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.1,,,22.0,
5,11,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.2,,,22.1,
6,0,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.2,,,22.1,
6,1,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.3,,,22.2,
6,2,,11.7,,,12.7,,,13.9,,,15.3,,,17.0,,,19.3,,,22.3,
6,3,,11.7,,,12.7,,,13.9,,,15.3,,,17.1,,,19.3,,,22.4,
6,4,,11.7,,,12.7,,,13.9,,,15.3,,,17.1,,,19.4,,,22.5,
6,5,,11.7,,,12.7,,,13.9,,,15.3,,,17.1,,,19.4,,,22.6,
6,6,,11.7,,,12.7,,,13.9,,,15.3,,,17.1,,,19.5,,,22.7,
6,7,,11.7,,,12.7,,,13.9,,,15.3,,,17.2,,,19.5,,,22.8,
6,8,,11.7,,,12.7,,,13.9,,,15.3,,,17.2,,,19.6,,,22.9,
6,9,,11.7,,,12.7,,,13.9,,,15.4,,,17.2,,,19.6,,,23.0,
6,10,,11.7,,,12.7,,,13.9,,,15.4,,,17.2,,,19.7,,,23.1,
6,11,,11.7,,,12.7,,,13.9,,,15.4,,,17.3,,,19.7,,,23.2,
7,0,,11.8,,,12.7,,,13.9,,,15.4,,,17.3,,,19.8,,,23.3,
7,1,,11.8,,,12.7,,,13.9,,,15.4,,,17.3,,,19.8,,,23.4,
7,2,,11.8,,,12.8,,,14.0,,,15.4,,,17.4,,,19.9,,,23.5,
7,3,,11.8,,,12.8,,,14.0,,,15.5,,,17.4,,,20.0,,,23.6,
7,4,,11.8,,,12.8,,,14.0,,,15.5,,,17.4,,,20.0,,,23.7,
7,5,,11.8,,,12.8,,,14.0,,,15.5,,,17.5,,,20.1,,,23.9,
7,6,,11.8,,,12.8,,,14.0,,,15.5,,,17.5,,,20.1,,,24.0,
7,7,,11.8,,,12.8,,,14.0,,,15.5,,,17.5,,,20.2,,,24.1,
