Panjang Badan (cm),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
45.0,,1.9,,,2.1,,,2.3,,,2.5,,,2.7,,,3.0,,,3.3,
45.5,,2.0,,,2.1,,,2.3,,,2.5,,,2.8,,,3.1,,,3.4,
46.0,,2.0,,,2.2,,,2.4,,,2.6,,,2.9,,,3.2,,,3.5,
46.5,,2.1,,,2.3,,,2.5,,,2.7,,,3.0,,,3.3,,,3.6,
47.0,,2.2,,,2.4,,,2.6,,,2.8,,,3.1,,,3.4,,,3.7,
47.5,,2.2,,,2.4,,,2.6,,,2.9,,,3.2,,,3.5,,,3.8,
48.0,,2.3,,,2.5,,,2.7,,,3.0,,,3.3,,,3.6,,,4.0,
48.5,,2.4,,,2.6,,,2.8,,,3.1,,,3.4,,,3.7,,,4.1,
49.0,,2.4,,,2.6,,,2.9,,,3.2,,,3.5,,,3.8,,,4.2,
