Umur (bulan),Berat Badan (Kg),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
0,,2.0,,,2.4,,,2.8,,,3.2,,,3.7,,,4.2,,,4.8,
1,,2.7,,,3.2,,,3.6,,,4.2,,,4.8,,,5.5,,,6.2,
2,,3.4,,,3.9,,,4.5,,,5.1,,,5.8,,,6.6,,,7.5,
3,,4.0,,,4.5,,,5.2,,,5.8,,,6.6,,,7.5,,,8.5,
4,,4.4,,,5.0,,,5.7,,,6.4,,,7.3,,,8.2,,,9.3,
5,,4.8,,,5.4,,,6.1,,,6.9,,,7.8,,,8.8,,,10.0,
6,,5.1,,,5.7,,,6.5,,,7.3,,,8.2,,,9.3,,,10.6,
7,,5.3,,,6.0,,,6.8,,,7.6,,,8.6,,,9.8,,,11.1,
8,,5.6,,,6.3,,,7.0,,,7.9,,,9.0,,,10.2,,,11.6,
9,,5.8,,,6.5,,,7.3,,,8.2,,,9.3,,,10.5,,,12.0,
10,,5.9,,,6.7,,,7.5,,,8.5,,,9.6,,,10.9,,,12.4,
11,,6.1,,,6.9,,,7.7,,,8.7,,,9.9,,,11.2,,,12.8,
12,,6.3,,,7.0,,,7.9,,,8.9,,,10.1,,,11.5,,,13.1,
13,,6.4,,,7.2,,,8.1,,,9.2,,,10.4,,,11.8,,,13.5,
14,,6.6,,,7.4,,,8.3,,,9.4,,,10.6,,,12.1,,,13.8,
15,,6.7,,,7.6,,,8.5,,,9.6,,,10.9,,,12.4,,,14.1,
16,,6.9,,,7.7,,,8.7,,,9.8,,,11.1,,,12.6,,,14.5,
17,,7.0,,,7.9,,,8.9,,,10.0,,,11.4,,,12.9,,,14.8,
18,,7.2,,,8.1,,,9.1,,,10.2,,,11.6,,,13.2,,,15.1,
19,,7.3,,,8.2,,,9.2,,,10.4,,,11.8,,,13.5,,,15.4,
