Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
0,,10.1,,,11.1,,,12.2,,,13.3,,,14.6,,,16.1,,,17.7,
1,,10.8,,,12.0,,,13.2,,,14.6,,,16.0,,,17.5,,,19.1,
2,,11.8,,,13.0,,,14.3,,,15.8,,,17.3,,,19.0,,,20.7,
3,,12.4,,,13.6,,,14.9,,,16.4,,,17.9,,,19.7,,,21.5,
4,,12.7,,,13.9,,,15.2,,,16.7,,,18.3,,,20.0,,,22.0,
5,,12.9,,,14.1,,,15.4,,,16.8,,,18.4,,,20.2,,,22.2,
6,,13.0,,,14.1,,,15.5,,,16.9,,,18.5,,,20.3,,,22.3,
7,,13.0,,,14.2,,,15.5,,,16.9,,,18.5,,,20.3,,,22.3,
8,,13.0,,,14.1,,,15.4,,,16.8,,,18.4,,,20.2,,,22.2,
9,,12.9,,,14.1,,,15.3,,,16.7,,,18.3,,,20.1,,,22.1,
10,,12.9,,,14.0,,,15.2,,,16.6,,,18.2,,,19.9,,,21.9,
11,,12.8,,,13.9,,,15.1,,,16.5,,,18.0,,,19.8,,,21.8,
12,,12.7,,,13.8,,,15.0,,,16.4,,,17.9,,,19.6,,,21.6,
13,,12.6,,,13.7,,,14.9,,,16.2,,,17.7,,,19.5,,,21.4,
14,,12.6,,,13.6,,,14.8,,,16.1,,,17.6,,,19.3,,,21.3,
15,,12.5,,,13.5,,,14.7,,,16.0,,,17.5,,,19.2,,,21.1,
16,,12.4,,,13.5,,,14.6,,,15.9,,,17.4,,,19.1,,,21.0,
17,,12.4,,,13.4,,,14.5,,,15.8,,,17.3,,,18.9,,,20.9,
18,,12.3,,,13.3,,,14.4,,,15.7,,,17.2,,,18.8,,,20.8,
