Umur (bulan),Indeks Massa Tubuh (IMT),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16
,-3 SD,,,-2 SD,,-1 SD,Median,,+1 SD,,,+2 SD,,+3 SD,,
44,,11.9,,,12.9,14.0,15.3,,,16.8,,18.5,,,20.4,
45,,11.9,,,12.9,14.0,15.3,,,16.8,,18.5,,,20.5,
46,,11.9,,,12.9,14.0,15.3,,,16.8,,18.5,,,20.5,
47,,11.8,,,12.8,14.0,15.3,,,16.8,,18.5,,,20.5,
48,,11.8,,,12.8,14.0,15.3,,,16.8,,18.5,,,20.6,
49,,11.8,,,12.8,13.9,15.3,,,16.8,,18.5,,,20.6,
50,,11.8,,,12.8,13.9,15.3,,,16.8,,18.6,,,20.7,
51,,11.8,,,12.8,13.9,15.3,,,16.8,,18.6,,,20.7,
52,,11.7,,,12.8,13.9,15.2,,,16.8,,18.6,,,20.7,
53,,11.7,,,12.7,13.9,15.3,,,16.8,,18.6,,,20.8,
54,,11.7,,,12.7,13.9,15.3,,,16.8,,18.7,,,20.8,
55,,11.7,,,12.7,13.9,15.3,,,16.8,,18.7,,,20.9,
56,,11.7,,,12.7,13.9,15.3,,,16.8,,18.7,,,20.9,
57,,11.7,,,12.7,13.9,15.3,,,16.9,,18.7,,,21.0,
58,,11.7,,,12.7,13.9,15.3,,,16.9,,18.8,,,21.0,
59,,11.6,,,12.7,13.9,15.3,,,16.9,,18.8,,,21.0,
60,,11.6,,,12.7,13.9,15.3,,,16.9,,18.8,,,21.1,
