Umur (bulan),Tinggi Badan (cm),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,-3 SD,,,-2 SD,,,-1 SD,,,Median,,,+1 SD,,,+2 SD,,,+3 SD,,
24 *,,76.0,,,79.3,,,82.5,,,85.7,,,88.9,,,92.2,,,95.4,
25,,76.8,,,80.0,,,83.3,,,86.6,,,89.9,,,93.1,,,96.4,
26,,77.5,,,80.8,,,84.1,,,87.4,,,90.8,,,94.1,,,97.4,
27,,78.1,,,81.5,,,84.9,,,88.3,,,91.7,,,95.0,,,98.4,
28,,78.8,,,82.2,,,85.7,,,89.1,,,92.5,,,96.0,,,99.4,
29,,79.5,,,82.9,,,86.4,,,89.9,,,93.4,,,96.9,,,100.3,
30,,80.1,,,83.6,,,87.1,,,90.7,,,94.2,,,97.7,,,101.3,
31,,80.7,,,84.3,,,87.9,,,91.4,,,95.0,,,98.6,,,102.2,
32,,81.3,,,84.9,,,88.6,,,92.2,,,95.8,,,99.4,,,103.1,
33,,81.9,,,85.6,,,89.3,,,92.9,,,96.6,,,100.3,,,103.9,
34,,82.5,,,86.2,,,89.9,,,93.6,,,97.4,,,101.1,,,104.8,
35,,83.1,,,86.8,,,90.6,,,94.4,,,98.1,,,101.9,,,105.6,
36,,83.6,,,87.4,,,91.2,,,95.1,,,98.9,,,102.7,,,106.5,
37,,84.2,,,88.0,,,91.9,,,95.7,,,99.6,,,103.4,,,107.3,
38,,84.7,,,88.6,,,92.5,,,96.4,,,100.3,,,104.2,,,108.1,
39,,85.3,,,89.2,,,93.1,,,97.1,,,101.0,,,105.0,,,108.9,
40,,85.8,,,89.8,,,93.8,,,97.7,,,101.7,,,105.7,,,109.7,
41,,86.3,,,90.4,,,94.4,,,98.4,,,102.4,,,106.4,,,110.5,
42,,86.8,,,90.9,,,95.0,,,99.0,,,103.1,,,107.2,,,111.2,
43,,87.4,,,91.5,,,95.6,,,99.7,,,103.8,,,107.9,,,112.0,
